Master’s Program in Urban Mobility (EIT Urban Mobility) – Innovative Mobility Technology,Aalto University,"Espoo, Finland"
Master of Arts in Strategic Communication (Advocacy and Social Impact Concentration),American University Online,"Washington D.C., United States of America"
Master in Teaching of Portuguese and Foreign Language (German/Spanish/French) in Basic and Secondary Education,Universidade de Aveiro,"Aveiro, Portugal"
Master in Teacher Education - Pre-school education and 1st cycle of basic schooling,Universidade de Aveiro,"Aveiro, Portugal"
Master of Arts (Thesis) (MA(Thesis)) in Information Science,University of Otago,"Dunedin, New Zealand"
"Master's Program in Chemical, Biochemical and Materials Engineering - Fibre and Polymer Engineering",Aalto University,"Espoo, Finland"
"Master's of Arts in Strategic Communication, Digital Communication Strategy and Analytics",American University Online,"Washington D.C., United States of America"
"Master's Program in Computer, Communication and Information Sciences – Security and Cloud Computing",Aalto University,"Espoo, Finland"
Postgraduate Degree in Accessibility and Design for All,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master in Advanced European and International Studies – Mediterranean Studies – Nice-Tunis-Istanbul,Centre international de formation européenne (CIFE),Multiple (3)
Master's Program in Smart Systems Integrated Solutions (SSIs) (Erasmus Mundus),Aalto University,"Espoo, Finland"
"Master's Program in Computer, Communication and Information Sciences - Computer Science",Aalto University,"Espoo, Finland"
Master's Program in Environomical Pathways for Sustainable Energy Systems (SELECT) (EIT InnoEnergy),Aalto University,"Espoo, Finland"
"Master's Program in Chemical, Biochemical and Materials Engineering - Biomass Refining",Aalto University,"Espoo, Finland"
Master's Program in Advanced Energy Solutions - Sustainable Energy in Buildings and Built Environment,Aalto University,"Espoo, Finland"
Sociolinguistics and Multilingualism (Joint Degree program),Vytautas Magnus University,"Kaunas, Lithuania"
Master in Management and Systems in the Mining Industry,Structuralia,"Alcobendas, Spain"
"Computer Science: Innovation for Change in a Digital Society, Master’s Program (Two-year)",Malmö University,"Malmö, Sweden"
"Master's Program in Computer, Communication and Information Sciences - Software and Service Engineering",Aalto University,"Espoo, Finland"
MSc in Supply Chain Management (dual degree program with KEDGE),ALBA Graduate Business School,"Athens, Greece"
Master's Program in Advanced Energy Solutions - Industrial Energy Processes and Sustainability,Aalto University,"Espoo, Finland"
"Master's Program in Computer, Communication and Information Sciences - Human-Computer Interaction",Aalto University,"Espoo, Finland"
Double Degree in Computer Science: Data Analytics and Artificial Intelligence,Transport and Telecommunication Institute,"Riga, Latvia"
Master's in Artificial Intelligence and Distributed Computing (AIDC),West University of Timișoara,"Timișoara, Romania"
Postgraduate Degree in Marketing & Sales for Creative Enterprises,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master of Arts (Coursework) (MA(Coursework)) in Indigenous Development/He Kura Matanui,University of Otago,"Dunedin, New Zealand"
"Master's Program in Computer, Communication and Information Sciences – Machine Learning, Data Science & AI",Aalto University,"Espoo, Finland"
"Computer Science: Applied Data Science, Master’s Program (Two-year)",Malmö University,"Malmö, Sweden"
"Master's Program in Computer, Communication and Information Sciences - Signal, Speech and Language Processing",Aalto University,"Espoo, Finland"
"Master's Program in Chemical, Biochemical and Materials Engineering - Functional Materials",Aalto University,"Espoo, Finland"
"Master's Program in Classical Music Performance (Woodwind instruments (Flute, Oboe, Clarinet,Bassoon, or Saxophone))",University of the Arts Helsinki,"Helsinki, Finland"
Master of Arts (Thesis) (MA(Thesis)) in Theatre Studies,University of Otago,"Dunedin, New Zealand"
"Master's Program in Chemical, Biochemical and Materials Engineering - Sustainable Metals Processing",Aalto University,"Espoo, Finland"
Master of Arts (Thesis) (MA(Thesis)) in Communication Studies,University of Otago,"Dunedin, New Zealand"
Master in Biology and Geology Teacher Education - 3rd Cycle of Basic Schooling and Secondary Schooling,Universidade de Aveiro,"Aveiro, Portugal"
MA AP – Master of Arts Academic Practice,University of Liverpool Online Programmes,"Liverpool, England"
Marketing and International Commerce (Double Degree Program with Catholic University of Louvain),Vytautas Magnus University,"Kaunas, Lithuania"
Postgraduate Degree in Coolhunting and Trends Research (in Spanish only),LCI Barcelona,"Barcelona, Spain"
"Urban Studies: Urban Business and Development - Real Estate and Transport, Master's Programme (Two-year)",Malmö University,"Malmö, Sweden"
Master in Primary School Education and Portuguese and History and Geography of Portugal in 2nd Cycle,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Advanced Energy Solutions - Sustainable Energy Systems and Markets,Aalto University,"Espoo, Finland"
Postgraduate Degree in Real Estate - Construction & Design Management,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master in Teaching of English and Foreign Language (German/Spanish/French) in Basic and Secondary Education,Universidade de Aveiro,"Aveiro, Portugal"
Master in Advanced European and International Studies – European Integration & Global Studies – Berlin-Nice-Rome/Istanbul,Centre international de formation européenne (CIFE),Multiple (4)
"Master's Program in International Design Business Management - MSc in Technology (CHEM, ELEC, ENG, SCI)",Aalto University,"Espoo, Finland"
Master in Advanced European and International Studies – Applied European Policy and Governance Studies – Nice-Canterbury-Berlin,Centre international de formation européenne (CIFE),Multiple (3)
"Master’s Program in Classical Music Performance (Brass instruments (French Horn, Trumpet, Trombone, Baritone Horn, or Tuba))",University of the Arts Helsinki,"Helsinki, Finland"
Master of Arts (Thesis) (MA(Thesis)) in Indigenous Development/He Kura Matanui,University of Otago,"Dunedin, New Zealand"
Post-Graduate Program in Cooperation and Development,University of Pavia,"Pavia, Italy"
European and International Business Law,Mykolas Romeris University,"Vilnius, Lithuania"
MSc (Veterinary Science) (Anatomy and Physiology),University of Pretoria - Faculty of Veterinary Science,"Pretoria, South Africa"
MSc (Veterinary Science) Tropical Diseases,University of Pretoria - Faculty of Veterinary Science,"Pretoria, South Africa"
MSc (Veterinary Science)(Paraclinical Sciences),University of Pretoria - Faculty of Veterinary Science,"Pretoria, South Africa"
MSc (Veterinary Science)(Companion Animal Clinical Studies),University of Pretoria - Faculty of Veterinary Science,"Pretoria, South Africa"
MSc (Veterinary Science)(Production Animal Studies),University of Pretoria - Faculty of Veterinary Science,"Pretoria, South Africa"
MSc in Chemistry,University of Pannonia,"Veszprém, Hungary"
Strategic Communication,Università IULM,"Milan, Italy"
MConSci Consumer Science,University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
MSc Applied Statistics,University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
MSc Mathematical Statistics (Coursework),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
MA Language and Communication Technologies,University of Groningen,"Groningen, Netherlands"
MSc Applied Minerology,University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
MSc Environmental Education,University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
MSc Environmental Education (coursework),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
Social Sustainability and Welfare Management,University of Siena,"Siena, Italy"
Analytical Life Sciences (M.Sc.) - Idstein,Hochschule Fresenius - University of Applied Sciences,"Idstein, Germany"
MTh (Practical Theology),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
"Mineral Resources and Sustainable Mining, M.Sc.",University of Oulu,"Oulu, Finland"
MTh (Religion Studies),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
Teaching,Saint Martin's University,"Lacey, United States of America"
MSc Physics,University of Groningen,"Groningen, Netherlands"
MTh (Dogmatics and Christian Ethics),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (New Testament Studies),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Practical Theology) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Religion Studies) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Science of Religion and Missiology),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Religion Studies) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Science of Religion and Missiology),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Youth Ministry) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Church History and Church Polity),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Dogmatics and Christian Ethics) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (New Testament Studies) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MTh (Pastoral Family Therapy) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
MMus (Music Education),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
MA Public Relations,University of the Arts London,"London, England"
MSc Polymer Technology,KTH Royal Institute of Technology,"Stockholm, Sweden"
MTh (Science of Religion and Missiology) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
Criticism & Curatorial Practice (MFA),OCAD University,"Toronto, Canada"
MTh (Church History and Church Polity) (Coursework),University of Pretoria - Faculty of Theology and Religion,"Pretoria, South Africa"
Interaction Design,Malmö University,"Malmö, Sweden"
MA in Business and Management,Bath Spa University,"Bath, England"
English - Literature (MA),"California State University, Dominguez Hills","Carson, United States of America"
MA in International Business Administration,Tallinn University of Technology,"Tallinn, Estonia"
Computer Engineering,University of Padua,"Padua, Italy"
MSc Innovative Sustainable Energy Engineering,KTH Royal Institute of Technology,"Stockholm, Sweden"
Computer Science - Distributed System Networking,"California State University, Dominguez Hills","Carson, United States of America"
